Locus Tag	Name	FDR	logFC	Fitness
SL1344_0818	ybiV(1)	0.350769217	1.220180264	0
SL1344_0819	pflF	0.479252014	1.11695647	0
SL1344_0821	moeB	0.098231379	3.254358165	0
SL1344_0822	moeA	0.021591611	-15	2
SL1344_0823	ybiK	0.295622245	2.119412773	0
SL1344_0824	yliA	0.902867616	0.175070774	0
SL1344_0826	yliC	0.270479719	2.465401864	0
SL1344_0828	rimO	0.783732396	0.433126686	0
SL1344_0833	SL1344_0833	8.21e-07	-15	2
SL1344_0834	SL1344_0834	1.39e-10	-15	2
SL1344_0835	SL1344_0835	5.16e-12	-15	2
SL1344_0836	SL1344_0836	0.000558905	-15	2
SL1344_0837	yliI	2.42e-07	-15	2
SL1344_0838	yliJ	0.688758119	-0.516425062	0
SL1344_0839	dacC	0.052291671	-2.002761546	0
SL1344_0842	mdfA	0.124968142	1.647833392	0
SL1344_0843	SL1344_0843	0.310198202	1.245046123	0
SL1344_0845	SL1344_0845	0.552423118	0.714559181	0
SL1344_0846	SL1344_0846	0.464199975	0.85826964	0
SL1344_0848	grxA	0.208065511	1.837437779	0
SL1344_0852	rimK	0.772619108	0.379485778	0
SL1344_0854	potF	0.134595462	2.669108699	0
SL1344_0855	potG	0.771867253	0.386058432	0
SL1344_0856	potH	0.952509724	0.091945715	0
SL1344_0859	rumB	0.159214765	1.671425459	0
SL1344_0860	SL1344_0860	2.57e-25	-7.707849844	2
SL1344_0861	SL1344_0861	3.77e-07	-15	2
SL1344_0862	SL1344_0862	0.030319931	-2.081547118	2
SL1344_0866	artI	0.052566913	-2.635421295	0
SL1344_0871	SL1344_0871	0.717034808	0.457611693	0
SL1344_0872	ybjT	0.06282113	2.074699579	0
SL1344_0873	ltaA	0.289903889	1.225642987	0
SL1344_0874	poxB	0.769046519	0.157707338	0
SL1344_0875	hcr	0.821171296	-0.30461351	0
SL1344_0876	hcp	0.448100236	1.015263771	0
SL1344_0877	ybjE	0.077971643	-2.224667164	0
SL1344_0879	ybjX	0.283343387	-1.148904682	0
SL1344_0881	ybjZ	0.294673806	1.454645518	0
SL1344_0882	cspD	0.694598144	0.498387132	0
SL1344_0884	clpA	0.186197494	1.533753486	0
SL1344_0887	SL1344_0887	0.479166082	-0.921222887	0
SL1344_0890	SL1344_0890	0.989350962	-0.032545682	0
SL1344_0895	cydD	0.164572713	-15	0
SL1344_0896	trxB	4.25e-05	-4.627403827	2
SL1344_0898	ftsK	0.210593799	-15	0
SL1344_0902	dmsA	0.515136591	-0.87574867	0
SL1344_0904	dmsC	0.470130365	0.836719841	0
SL1344_0906	ycaM	2.06e-11	-15	2
SL1344_0907	pflA	0.64551728	1.278429546	0
SL1344_0909	sopD2	2.02e-09	-6.777842782	2
SL1344_0910	pflB	2.13e-08	-3.351875414	2
SL1344_0911	focA	1.33e-07	-15	2
SL1344_0912	ycaO	0.880916678	0.213939217	0
SL1344_0913	ycaP	0.907115777	0.174774401	0
SL1344_0915	aroA	1.94e-17	-6.688101098	2
SL1344_0920	rec2	0.770590729	0.411593524	0
SL1344_0923	ycaQ	0.163453734	1.46562569	0
SL1344_0930	mukE	0.00037511	-3.643688911	2
SL1344_0932	ycbB	0.162829393	1.513083871	0
SL1344_0934	ycbL	0.821147179	0.316424244	0
SL1344_0935	aspC	0.401950874	1.216738461	0
SL1344_0936	ompF	0.610682838	-0.731610332	0
