Locus Tag	Name	Anaerobic growth	Anaerobic shock
SL1344_0470	acrR	33.8	67.7
SL1344_0471	aefA	22	15.1
SL1344_0472		37.8	40
SL1344_0473	ybaM	13.3	22.9
SL1344_0474	priC	15	10.2
SL1344_0476	apt	23.3	20.9
SL1344_0477	dnaX	96	80.4
SL1344_0478	ybaB	67.7	41.5
SL1344_0479	recR	96.9	64.3
SL1344_0480	htpG	42.7	109.6
STnc3130		211.2	151.2
SL1344_0481	adk	59.1	44.9
SL1344_0482	hemH	46.9	36
SL1344_0483	aes	2.4	4.1
SL1344_0484	gsk	8.6	15.9
SL1344_0485	ybaL	25.2	20.2
SL1344_0486	fsr	6.8	13.1
SL1344_0487	ushA	30.7	56.7
SL1344_0488	ybaK	50.9	40.4
ChiX	ChiX	44753.2	55813.6
SL1344_0489	ybaP	20.5	26.2
SL1344_0490		13	17.9
SL1344_0491	copA	21.7	77.2
SL1344_0492	cueR	59.6	91
SL1344_0493	ybbJ	32.5	21.1
SL1344_0494	ybbK	31.5	25.5
SL1344_0495	ybbL	15.1	21.5
SL1344_0496	ybbM	20.6	24.5
SL1344_0497	ybbN	24.1	47.2
SL1344_0498	ybbO	17.2	21.7
SL1344_0499	tesA	21.2	23.2
SL1344_0500	ybbA	6.3	5.4
SL1344_0501	ybbP	16.1	17
STnc950		45.5	90.6
SL1344_0502		11.7	15.1
SL1344_0503	sfbA	13.8	10
SL1344_0504	sfbB	9.4	4.9
SL1344_0505	sfbC	14.9	16.2
SL1344_0506	ybbB	43.6	65.6
SL1344_0507	ybbS	3.7	4
SL1344_0508	allA	15.2	24.8
SL1344_0509	allR	36.6	46.9
SL1344_0510	gcl	1	1.4
SL1344_0511	gip	2.4	2
SL1344_0512	garRa	1	1.9
SL1344_0513		0.8	2.9
SL1344_0515	allP	0.5	0.6
SL1344_0516	allB	2.1	2.2
SL1344_0517	ybbY	1.5	1.3
SL1344_0518	glxK	0.9	1.7
STnc480		324.5	389.2
SL1344_0519	ylbA	14.7	15.3
SL1344_0520	allC	3.5	2.7
SL1344_0521	allD	2.4	5.4
SL1344_0522	fdrA	1.3	0.9
SL1344_0523	ylbE	0.8	0.7
SL1344_0524	ylbF	0.6	1.1
SL1344_0525	arcC	3.7	6.1
SL1344_0526	purK	16	15.4
SL1344_0527	purE	9	9
SL1344_0528	lpxH	49.2	48.6
SL1344_0529	ppiB	152.6	169.3
SL1344_0530	cysS	54.8	69.4
SL1344_0531		6.1	10.7
SL1344_0532		6	7.2
SL1344_0533	ybcI	4.1	1.8
SL1344_0534	ybcJ	103	98.5
SL1344_0535	folD	45.3	57
SL1344_0536	fimA	35.1	7.6
SL1344_0537	fimI	3.4	0.8
SL1344_0538	fimC	2.1	0.8
SL1344_0539	fimD	2.5	1
SL1344_0540	fimH	2.2	3.8
SL1344_0541	fimF	5.6	6.9
SL1344_0542	fimZ	8.7	4.3
SL1344_0543	fimY	0.9	0.6
SL1344_0544		5.1	4.6
SL1344_0545	fimW	7.3	13.4
SL1344_0546		4.1	4.4
SL1344_0547		2.9	4.2
SL1344_0548	gtrBa	2.8	3.2
SL1344_0549	gtrAa	1.8	1.6
STnc1870		14.3	1.3
SL1344_0550		4.4	1.7
SL1344_0550A	cusA	18.8	13.9
SL1344_0551	ykgD	5.5	8
SL1344_0552	ykgC	3.5	6.7
SL1344_0553		0.6	1.8
SL1344_0554	ykgB	0.2	1
SL1344_0555		40.6	48.7
SL1344_0556	pheP	16.7	21.3
SL1344_0557	ybdG	17	22.2
SL1344_0558	apeE	10.1	11
SL1344_0559		11.1	25.3
SL1344_0560		0.9	0.6
SL1344_0561		0.1	0.5
SL1344_0562	manZ	0.6	0.2
SL1344_0563	manY	0.2	0.6
SL1344_0564	manX	0.8	0.3
SL1344_0565		0	0.6
SL1344_0566	nfnB	43.8	47.8
SL1344_0567	ybdF	8.9	16.6
SL1344_0568	ramR	26.9	38
SL1344_0569	ramA	16.1	20.4
SL1344_0570	ybdJ	8.4	8.6
SL1344_0571	ybdK	6.8	5.9
SL1344_0572	entD	1.1	1.2
SL1344_0573	fepA	3.6	5.1
SL1344_0574	fes	0.3	0.8
SL1344_0575	ybdZ	0.6	3.3
SL1344_0576	entF	1.1	2
SL1344_0577	fepE	26	29.2
SL1344_0578	fepC	1.5	2.7
SL1344_0579	fepG	1.3	1.3
SL1344_0580	fepD	1.7	3.7
SL1344_0581	ybdA	2.5	2.9
SL1344_0582	fepB	3	6.6
SL1344_0583	entC	1.7	1.8
SL1344_0584	entE	0.7	0.8
SL1344_0585	entB	0.3	1
SL1344_0586	entA	0.7	3.2
SL1344_0587	ybdB	1.6	2.8
SL1344_0588	cstAa	15.7	16.6
SL1344_0589	ybdD	25.9	49
SL1344_0590	ybdH	7.8	5.4
SL1344_0591	ybdL	9.2	5.8
SL1344_0592	ybdM	9.8	12.2
SL1344_0593	ybdN	7.7	8.3
SL1344_0594	ybdO	18	21
STnc3180		42.2	14.4
SL1344_0595	dsbG	13.5	11.5
STnc070		4398.1	2499.5
SL1344_0596	ahpC	600.6	166.5
SL1344_0597	ahpF	96.3	27.1
SL1344_0598		0.9	0.3
SL1344_0599		2.7	4.3
SL1344_0600		3.5	3.1
SL1344_0601		18.3	24.5
SL1344_0602	ybdQ	449	1185.7
SL1344_0603	ybdR	6.4	4.8
SL1344_0604	rnk	28.1	37.5
sRNA10		339.4	234.9
SL1344_0605	rna	113.2	62.4
SL1344_0606	citT	4.5	5.4
SL1344_0607	citG	0	0.8
SL1344_0608	citX	16.4	1.3
SL1344_0609	citF	0.9	1.8
SL1344_0610	citE	1.7	1.1
SL1344_0611	citD	2.7	1.4
SL1344_0612	citC	0.7	1.9
SL1344_0613	citA	5.2	7.7
SL1344_0614	citB	8.3	12.2
SL1344_0615	dcuC	10.2	21.7
STnc3550		58.1	101
SL1344_0616	pagP	80.7	74.7
SL1344_0617	cspE	4201.4	5682.8
SL1344_0618	ccrB	108.5	114.1
SL1344_0619		8.3	11.9
SL1344_0620	tatE	135.3	154.6
SL1344_0621	lipA	32.1	52.9
SL1344_0622	ybeF	10.1	10.2
SL1344_0623	lipB	20.3	20.5
SL1344_0624	ybeD	171.1	232.7
SL1344_0625	dacA	37.7	39.7
SL1344_0626	rlpA	27.9	29.7
SL1344_0627	mrdB	18.1	19.5
SL1344_0628	mrdA	19.3	22.1
SL1344_0629	ybeA	24.4	29
SL1344_0630	ybeB	26	27.8
SL1344_0631	cobC	13.2	15.7
SL1344_0632	cobD	11	20.3
SL1344_0633	nadD	10.6	11.3
SL1344_0634	holA	31.8	34.7
SL1344_0635	rlpB	115.8	106.5
SL1344_0636	leuS	46.6	44.3
SL1344_0637		117.8	244.7
SL1344_0638		44.5	62.3
SL1344_0639		42.8	64.5
SL1344_0640		46.5	54.9
SL1344_0641	ybeL	104.2	246.9
SL1344_0642	ybeQ	5	9.5
SL1344_0643	ybeR	3.2	2
SL1344_0644	ybeS	1.5	2.6
SL1344_0645	ybeU	1.7	2
SL1344_0647	ybeV	2.9	3
SL1344_0648	hscC	31	80.8
SL1344_0649		19.6	78.1
SL1344_0650	rihA	18.8	83.1
SL1344_0651	gltL	4	6.1
SL1344_0652	gltK	1.4	7
SL1344_0653	gltJ	1.4	3.9
SL1344_0654	gltI	4.8	12.5
SroC		206.1	828.4
SL1344_0655	lnt	23	18.9
SL1344_0656	ybeX	59.3	67.7
SL1344_0657	ybeY	74	111.1
SL1344_0658	phoL	55.9	82.1
SL1344_0659	miaB	18.3	25.7
SL1344_0660	ubiF	25.8	32.3
SL1344_0661		28.1	34.9
STnc3290		37.7	42.7
SL1344_0662	asnB	34.2	25.5
SL1344_0663	nagD	37	39.4
SL1344_0664	nagC	32.2	39
SL1344_0665	nagA	58.9	75.6
SL1344_0666	nagB	52.8	86.1
SL1344_0667	nagE	33.6	92.3
SL1344_0668	glnS	53.6	56.8
STnc3300		50.2	238.7
SL1344_0669	ybfM	24.9	77.3
SL1344_0670	ybfN	47.3	72.4
SL1344_0671		6.2	5.5
SL1344_0672		1.4	0.9
SL1344_0673		1.8	2.2
SL1344_0674		10.1	11.4
SL1344_0675	fur	224.5	219.6
sRNA9		302.2	226
SL1344_0676	fldA	87.1	134.9
SL1344_0677	ybfE	15.8	20.8
SL1344_0678	ybfF	14.5	20.5
SL1344_0679	seqA	75.7	92.3
SL1344_0680	pgm	90.9	85.8
SL1344_0681		171.9	716.3
SL1344_0682	potE	162.9	751.9
SL1344_0683	speF	120.6	626.6
SL1344_0684	kdpE	20.2	18.7
SL1344_0685	kdpD	8.8	8.8
SL1344_0686	kdpC	6.7	5.6
SL1344_0687	kdpB	1.1	1.7
