Locus Tag	gene	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_0454	mdlA	45.14	52.11	54.28	50.51
SL1344_0455	mdlB	40.17	37.6	40.45	39.41
SL1344_0456	glnK	26.67	34.35	37.38	32.8
SL1344_0457	amtB	30.88	35.9	37.84	34.87
SL1344_0458	tesB	14.41	20.41	24.78	19.87
SL1344_0459	ybaY	16.34	24.2	17.57	19.37
SL1344_0460	ybaZ	24.45	20.84	38.2	27.83
SL1344_0461	ylaB	8.72	8.01	8.76	8.5
SL1344_0462	rpmE2	366.15	298.06	203.83	289.35
SL1344_0463	rpmJa	352.92	364.36	281.76	333.01
SL1344_0464	ylaC	16.78	23.55	27.29	22.54
SL1344_0465	maa	106.32	101.93	106.45	104.9
SL1344_0466	hha	341.09	417.41	264.73	341.08
SL1344_0467	ybaJ	85.85	115.52	132.62	111.33
SL1344_0468	acrB	27.64	27.52	28.14	27.77
SL1344_0469	acrA	34.71	38.93	36.68	36.77
SL1344_0470	acrR	27.17	29.36	34.66	30.4
SL1344_0471	aefA	24.55	22.09	23.9	23.51
SL1344_0472		19.88	25.12	25.42	23.47
SL1344_0473	ybaM	10.12	6.47	9.03	8.54
SL1344_0474	priC	42.66	35.13	34.79	37.53
SL1344_0476	apt	52.14	49	45.87	49
SL1344_0477	dnaX	48.94	49.58	58.59	52.37
SL1344_0478	ybaB	103.59	87.82	91.72	94.37
SL1344_0479	recR	59.12	44.63	47.7	50.48
SL1344_0480	htpG	34.12	32.85	36.93	34.63
SL1344_0481	adk	142.14	126.62	120.66	129.81
SL1344_0482	hemH	23.72	27.23	27.64	26.19
SL1344_0483	aes	2.61	1.11	2.14	1.95
SL1344_0484	gsk	27.65	26.3	26.61	26.85
SL1344_0485	ybaL	38.32	38.02	44.67	40.34
SL1344_0486	fsr	2.08	1.99	1.24	1.77
SL1344_0487	ushA	10.06	11.6	12.22	11.29
SL1344_0488	ybaK	37.04	32.7	31.5	33.75
