Locus Tag	Name	EEP	MEP	LEP	ESP	LSP
SL1344_0333	stbC	3.2	3.8	3.5	2.6	0.8
SL1344_0334	stbB	0.2	0.4	0.1	0.4	0.4
SL1344_0335	stbA	1.1	0.4	0.7	0.1	0.3
SL1344_0336		26.2	24.1	62.2	40.2	9.6
SL1344_0337		17.4	12	21.2	12.3	2
STnc1700		36.6	35	53.8	77.5	100.9
SL1344_0338		6	7.1	9.5	10.9	4.2
SL1344_0339		71	60.6	47.5	46.8	6.5
SL1344_0340		39.4	37.6	35.9	26.9	3.4
SL1344_0341		6.1	2.3	3.2	1.8	0.4
SL1344_0342		6.4	3.9	2.7	2.2	5.6
SL1344_0343		8.1	4.3	3.5	2	0.7
SL1344_0344		11	8	9.5	6.9	8.2
SL1344_0345		0.7	1.3	1.6	1	0.6
SL1344_0346		0.6	1	1.4	0.5	0.2
SL1344_0347		0.3	0.1	0.3	0.4	0
SL1344_0348		0.7	1.9	1.6	1.5	0.4
SL1344_0349		2	2.1	6.5	2.9	0.7
SL1344_0350		6.3	16.2	16	18.3	1.2
SL1344_0351		6.5	5.4	22.3	4.2	0.8
SL1344_0352	mod	68.7	66.1	40.2	16.8	2.7
SL1344_0353	res	50	48.4	32.7	12.9	3.1
SL1344_0354		24	15.5	48.8	115.2	565.4
SL1344_0355		4.9	3.3	10.8	20.6	17.9
SL1344_0356		7.4	7.5	19.3	33	38.6
SL1344_0357		0.7	3	6.9	12	19.5
SL1344_0358		22.3	21.5	6.3	4.9	5.6
SL1344_0359	foxA	6.4	6.1	4.3	3	2.4
SL1344_0360	yahN	16.7	17.5	41.9	40.3	6.5
SL1344_0361	yahO	9.4	15.6	109.9	291.9	103.4
SL1344_0362	prpR	2.9	10.7	22.7	8.4	0.3
SL1344_0363	prpB	1	0.7	4.5	3.3	1.4
STnc3280		48.1	64.8	49.4	59.6	16
SL1344_0364	prpC	2.4	2.5	2.9	3.8	2.2
SL1344_0365	prpD	1.3	1.5	3.2	3	0.5
SL1344_0366	prpE	2.1	2.4	3.7	2.9	1.1
SL1344_0367	hemB	55.6	64.8	39.8	22.3	1.3
SL1344_0368	yaiU	14.8	11.9	18.6	16.6	4.5
