Locus Tag	Name	FDR	logFC	Fitness
SL1344_0859	rumB	7.29e-05	-1.50458177	2
SL1344_0860	SL1344_0860	4.31e-34	-15	2
SL1344_0862	SL1344_0862	1.22e-05	-2.199398259	2
SL1344_0866	artI	0.01438879	1.996509263	1
SL1344_0872	ybjT	3.07e-06	2.695434522	1
SL1344_0873	ltaA	0.926795448	0.06657343	0
SL1344_0874	poxB	0.009134874	1.541840925	1
SL1344_0875	hcr	0.020822617	1.801549688	1
SL1344_0876	hcp	0.006923004	2.094822907	1
SL1344_0877	ybjE	0.023756646	-1.20951082	2
SL1344_0879	ybjX	0.099111935	-0.878665437	0
SL1344_0881	ybjZ	0.02413537	-1.160796454	2
SL1344_0882	cspD	0.01749031	1.761144385	1
SL1344_0884	clpA	0.364819838	-0.512219303	0
SL1344_0887	SL1344_0887	0.501393382	0.53152614	0
SL1344_0895	cydD	3.51e-20	-15	2
SL1344_0896	trxB	1.74e-24	-6.32903318	2
SL1344_0897	lrp	0.014349113	1.898538126	1
SL1344_0898	ftsK	1.85e-09	-15	2
SL1344_0902	dmsA	0.004063512	-2.09711538	2
SL1344_0904	dmsC	0.003029322	2.136794778	1
SL1344_0906	ycaM	8.84e-72	-15	2
SL1344_0907	pflA	0.010242239	2.078758463	1
SL1344_0909	sopD2	8.76e-31	-15	2
SL1344_0910	pflB	6.39e-09	-2.981022028	2
SL1344_0911	focA	1.99e-31	-15	2
SL1344_0912	ycaO	0.174516182	1.028454904	0
SL1344_0913	ycaP	0.075398583	1.319826815	0
SL1344_0920	rec2	0.009605048	1.284517246	1
SL1344_0923	ycaQ	0.005830886	2.092902272	1
SL1344_0930	mukE	1.67e-05	-2.169759003	2
SL1344_0932	ycbB	1.98e-15	-4.366890264	2
SL1344_0934	ycbL	0.011618395	1.320147507	1
SL1344_0935	aspC	0.237129268	-0.659450962	0
SL1344_0936	ompF	4.22e-05	-2.712250099	2
SL1344_0939	dpaL	4.75e-22	-15	2
SL1344_0940	SL1344_0940	1.27e-63	-15	2
SL1344_0942	SL1344_0942	0.381717398	-0.636010196	0
SL1344_0946	recEa	0.155149912	-0.75163752	0
SL1344_0948	SL1344_0948	9.66e-24	-6.287484069	2
SL1344_0952	SL1344_0952	8.12e-28	-7.348760645	2
SL1344_0956	SL1344_0956	5.64e-62	-15	2
SL1344_0962	SL1344_0962	0.037934411	-1.425431218	2
SL1344_0964	SL1344_0964	2.26e-34	-15	2
SL1344_0969	SL1344_0969	0.195336882	0.830459654	0
SL1344_0971	SL1344_0971	0.023093552	1.644296225	1
