Locus Tag	Name	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_0460	ybaZ	70.4	92.6	63.2	137.4
4.5S	4.5S	38651.5	26577.1	27049	20970.5
SL1344_0461	ylaB	18.6	27.2	14.1	28.9
SL1344_0462	rpmE2	10.1	13.7	27.5	24.2
SL1344_0463	rpmJa	62.2	96.4	81.1	142.3
SL1344_0464	ylaC	164.2	151.9	60.2	108.4
SL1344_0465	maa	66.4	56.8	49.7	83.1
SL1344_0466	hha	208.6	171	355.4	316
SL1344_0467	ybaJ	149.9	201.4	620.2	353.5
SL1344_0468	acrB	71.7	62	16.6	42.4
SL1344_0469	acrA	71.2	73.8	13.4	56.6
SL1344_0470	acrR	37.3	37.5	18.1	62.4
SL1344_0471	aefA	26.5	22	4.5	19.9
SL1344_0472		22.8	25.9	15.9	19
SL1344_0473	ybaM	29.4	28.6	10.3	22.7
SL1344_0474	priC	18.6	23.3	10.2	11.4
SL1344_0476	apt	91.8	20.5	16	22.7
SL1344_0477	dnaX	83.2	85.8	15.8	70.9
SL1344_0478	ybaB	135.3	78.6	11.3	33.9
SL1344_0479	recR	125.5	54.6	7.9	30.8
SL1344_0480	htpG	157.4	60.8	28.4	69.8
